OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?
,,,,
2S*,2NT,3S- minimum,New Suit – cue bid,
Weak 2 (4-9pts) may be 5 card suit,relay,,,
,,3C/3D/3H- maximum feature,New Suit – cue bid,
,,,,
(* IN 4th POSITION range is 8-12pts),,"3NT- maximum, good suit (min AJ10xxx)",New Suit – cue bid,
,,,,
,,4C/4D/4H- distributional (6-5),,
,,,,
,,4S- longer suit than expected,,
,,,,
,,,,
,3C,"3S- minimum, no fit",natural,
,"natural, good suit",,,
,,4C- minimum with fit,cue bids,
,,,,
,,"3NT- maximum , no fit",natural,
,,,,
,,3D/3H- maximum fit and feature,cue bids,
,,,,
,,,,
,3D,Rebids and sequences identical to 2S-3C:,,
,"natural, good suit","3S- minimum, no fit",natural,
,,4D- minimum with fit,cue bids,
,,"3NT- maximum , no fit",natural,
,,4C/3H- maximum fit and feature,cue bids,
,,,,
,,,,
,3H,Rebids and sequences identical to 2S-3C:,,
,"natural, good suit","3S- minimum, no fit",natural,
,,4H- minimum with fit,cue bids,
,,"3NT- maximum , no fit",natural,
,,4C/4D- maximum fit and feature,cue bids,
,,,,
,,,,
,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?
,,,,
2S*,3S,opener usually passes,,
Weak 2 (4-9pts),obstructive raise,(but may compete further if distributional),,
